,feature,Ranking
1152,BCAM,108
1153,BCAN,127
1154,BCAP29,96
1155,BCAP31,18
1156,BCAR1,12
1157,BCAR3,90
1158,BCAR4,9
1159,BCAS1,5
1160,BCAS2,77
1161,BCAS3,1
1162,BCAS4,15
1163,BCAT2,70
1164,BCCIP,112
1165,BCDIN3D,18
1166,BCHE,129
1167,BCKDHA,133
1168,BCKDHB,135
1169,BCKDK,56
1170,BCL10,83
1171,BCL11A,94
1172,BCL11B,133
1173,BCL2,128
1174,BCL2A1,97
1175,BCL2L1,58
1176,BCL2L10,19
1177,BCL2L11,144
1178,BCL2L12,93
1179,BCL2L13,81
1180,BCL2L14,95
1181,BCL2L15,105
1182,BCL2L2,103
1183,BCL3,56
1184,BCL6,99
1185,BCL6B,35
1186,BCL7A,82
1187,BCL7B,8
1188,BCL7C,61
1189,BCL9L,79
1190,BCLAF1,147
1191,BCO2,96
1192,BCOR,48
1193,BCORL1,7
1194,BCS1L,147
1195,BCYRN1,105
1196,BDH1,88
1197,BDH2,108
1198,BDKRB1,143
1199,BDKRB2,121
1200,BDNF,105
1201,BDP1,126
1202,BECN1,26
1203,BEGAIN,73
1204,BEND2,6
1205,BEND3,42
1206,BEND4,24
1207,BEND5,83
1208,BEND6,20
1209,BEND7,1
1210,BEST1,15
1211,BEST2,86
1212,BEST3,23
1213,BET1,58
1214,BEX1,5
1215,BEX2,1
1216,BEX4,2
1217,BEX5,17
1218,BFAR,2
1219,BFSP1,29
1220,BFSP2,49
1221,BGLAP,86
1222,BGN,22
1223,BHLHB9,2
1224,BHLHE22,110
1225,BHLHE40,30
1226,BHMT,148
1227,BHMT2,108
1228,BICC1,114
1229,BICD1,27
1230,BICD2,140
1231,BID,77
1232,BIK,101
1233,BIN1,109
1234,BIN2,15
1235,BIN3,148
1236,BIRC5,100
1237,BIRC6,136
1238,BIRC8,112
1239,BIVM,19
1240,BLCAP,60
1241,BLID,60
1242,BLK,50
1243,BLM,65
1244,BLMH,10
1245,BLNK,121
1246,BLOC1S1,1
1247,BLOC1S2,35
1248,BLOC1S3,31
1249,BLVRA,54
1250,BLVRB,36
1251,BLZF1,96
1252,BMF,126
1253,BMI1,14
1254,BMP1,36
1255,BMP10,144
1256,BMP15,69
1257,BMP2,43
1258,BMP2K,139
1259,BMP3,117
1260,BMP4,34
1261,BMP5,72
1262,BMP6,138
1263,BMP7,60
1264,BMP8A,39
1265,BMP8B,35
1266,BMPER,112
1267,BMPR1A,86
1268,BMPR1B,109
1269,BMPR2,51
1270,BMS1,56
1271,BMS1P4,49
1272,BNC1,117
1273,BNC2,122
1274,BNIP1,144
1275,BNIP2,92
1276,BNIP3,57
1277,BNIP3L,95
1278,BNIPL,43
1279,BOC,15
1280,BOD1,75
1281,BOLA3,140
1282,BOLL,112
1283,BPESC1,100
1284,BPGM,65
1285,BPHL,57
1286,BPI,4
1287,BPNT1,43
1288,BPTF,1
1289,BRAF,26
1290,BRAP,80
1291,BRCA1,31
1292,BRCA2,123
1293,BRD2,78
1294,BRD3,139
1295,BRD4,104
1296,BRD7,89
1297,BRD8,93
1298,BRDT,62
1299,BRE,108
1300,BRF1,39
1301,BRF2,43
1302,BRI3,87
1303,BRI3BP,36
1304,BRIP1,116
1305,BRIX1,114
1306,BRMS1,10
1307,BRMS1L,94
1308,BRPF1,40
1309,BRPF3,126
1310,BRS3,12
1311,BRSK1,147
1312,BRSK2,90
1313,BRWD1,60
1314,BRWD3,1
1315,BSCL2,34
1316,BSDC1,91
1317,BSG,34
1318,BSN,110
1319,BSND,4
1320,BSPH1,53
1321,BSPRY,149
1322,BST1,88
1323,BST2,135
1324,BSX,101
1325,BTAF1,47
1326,BTBD1,42
1327,BTBD10,44
1328,BTBD11,53
1329,BTBD16,107
1330,BTBD18,78
1331,BTBD19,42
1332,BTBD2,81
1333,BTBD3,84
1334,BTBD6,49
1335,BTBD7,109
1336,BTBD8,101
1337,BTBD9,65
1338,BTC,83
1339,BTD,129
1340,BTF3,58
